a,b,c,ground truth lat,ground truth lon,camera lat,camera lon
13,-243,243,32.703070333,-117.2335715,32.70297,-117.234631
12,-246,246,32.703070333,-117.2335715,,
12,-245,245,32.703070333,-117.2335715,,
12,-246,246,32.703070333,-117.2335715,,
11,-247,247,32.703070333,-117.2335715,,
12,-247,247,32.703070333,-117.2335715,,
12,-248,248,32.703070333,-117.2335715,,
9,-247,247,32.703070333,-117.2335715,,
12,-245,245,32.703070333,-117.2335715,,
8,-252,252,32.703070333,-117.2335715,,
9,-251,251,32.703070333,-117.2335715,,
8,-254,254,32.703070333,-117.2335715,,
11,-255,255,32.703070333,-117.2335715,,
9,-253,253,32.703070333,-117.2335715,,
12,-256,256,32.703070333,-117.2335715,,
9,-257,257,32.703070333,-117.2335715,,
12,-257,257,32.7029464668,-117.2335001002,,
13,-257,257,32.7029464668,-117.2335001002,,
11,-258,258,32.7029464668,-117.2335001002,,
11,-259,259,32.7029464668,-117.2335001002,,
11,-260,260,32.7029464668,-117.2335001002,,
11,-262,262,32.7029464668,-117.2335001002,,
11,-262,262,32.7029464668,-117.2335001002,,
11,-259,259,32.7029464668,-117.2335001002,,
9,-265,265,32.7029464668,-117.2335001002,,
11,-263,263,32.7029464668,-117.2335001002,,
9,-266,266,32.7029464668,-117.2335001002,,
11,-267,267,32.7029464668,-117.2335001002,,
9,-267,267,32.7029464668,-117.2335001002,,
12,-269,269,32.7029464668,-117.2335001002,,
11,-269,269,32.7029464668,-117.2335001002,,
9,-271,271,32.7029464668,-117.2335001002,,
11,-270,270,32.7029464668,-117.2335001002,,
11,-273,273,32.7029464668,-117.2335001002,,
12,-274,274,32.7029464668,-117.2335001002,,
11,-274,274,32.7029464668,-117.2335001002,,
11,-275,275,32.7029464668,-117.2335001002,,
12,-279,279,32.7029464668,-117.2335001002,,
11,-278,278,32.7029464668,-117.2335001002,,
12,-279,279,32.7029464668,-117.2335001002,,
8,-281,281,32.7029464668,-117.2335001002,,
12,-280,280,32.7029252002,-117.2334850668,,
9,-285,285,32.7029252002,-117.2334850668,,
11,-284,284,32.7029252002,-117.2334850668,,
9,-280,280,32.7029252002,-117.2334850668,,
12,-285,285,32.7029252002,-117.2334850668,,
12,-286,286,32.7029252002,-117.2334850668,,
9,-285,285,32.7029252002,-117.2334850668,,
11,-284,284,32.7029252002,-117.2334850668,,
11,-286,286,32.7029252002,-117.2334850668,,
13,-288,288,32.7029252002,-117.2334850668,,
12,-290,290,32.7029252002,-117.2334850668,,
12,-289,289,32.7029252002,-117.2334850668,,
12,-291,291,32.7029252002,-117.2334850668,,
11,-293,293,32.7029252002,-117.2334850668,,
12,-294,294,32.7029252002,-117.2334850668,,
11,-296,296,32.7029252002,-117.2334850668,,
12,-294,294,32.7029252002,-117.2334850668,,
12,-294,294,32.7029252002,-117.2334850668,,
12,-299,299,32.7029252002,-117.2334850668,,
13,-300,300,32.7029252002,-117.2334850668,,
12,-299,299,32.7029252002,-117.2334850668,,
12,-301,301,32.7029252002,-117.2334850668,,
12,-300,300,32.7029252002,-117.2334850668,,
9,-301,301,32.7029252002,-117.2334850668,,
11,-302,302,32.7029252002,-117.2334850668,,
12,-305,305,32.7029039336,-117.2334700334,,
12,-304,304,32.7029039336,-117.2334700334,,
13,-305,305,32.7029039336,-117.2334700334,,
12,-307,307,32.7029039336,-117.2334700334,,
12,-304,304,32.7029039336,-117.2334700334,,
11,-308,308,32.7029039336,-117.2334700334,,
9,-309,309,32.7029039336,-117.2334700334,,
9,-310,310,32.7029039336,-117.2334700334,,
12,-310,310,32.7029039336,-117.2334700334,,
11,-311,311,32.7029039336,-117.2334700334,,
9,-314,314,32.7029039336,-117.2334700334,,
11,-312,312,32.7029039336,-117.2334700334,,
12,-313,313,32.7029039336,-117.2334700334,,
12,-315,315,32.7029039336,-117.2334700334,,
11,-315,315,32.7029039336,-117.2334700334,,
12,-316,316,32.7029039336,-117.2334700334,,
11,-316,316,32.7029039336,-117.2334700334,,
9,-316,316,32.7029039336,-117.2334700334,,
11,-318,318,32.7029039336,-117.2334700334,,
12,-319,319,32.7029039336,-117.2334700334,,
9,-320,320,32.7029039336,-117.2334700334,,
11,-321,321,32.7029039336,-117.2334700334,,
12,-321,321,32.7029039336,-117.2334700334,,
9,-320,320,32.7029039336,-117.2334700334,,
11,-322,322,32.7029039336,-117.2334700334,,
9,-324,324,32.702882667,-117.233455,,
8,-325,325,32.702882667,-117.233455,,
9,-325,325,32.702882667,-117.233455,,
9,-325,325,32.702882667,-117.233455,,
8,-327,327,32.702882667,-117.233455,,
9,-327,327,32.702882667,-117.233455,,
8,-329,329,32.702882667,-117.233455,,
9,-329,329,32.702882667,-117.233455,,
8,-329,329,32.702882667,-117.233455,,
8,-331,331,32.702882667,-117.233455,,
9,-331,331,32.702882667,-117.233455,,
8,-333,333,32.702882667,-117.233455,,
9,-333,333,32.702882667,-117.233455,,
9,-334,334,32.702882667,-117.233455,,
9,-337,337,32.702882667,-117.233455,,
8,-336,336,32.702882667,-117.233455,,
7,-335,335,32.702882667,-117.233455,,
8,-335,335,32.702882667,-117.233455,,
11,-336,336,32.702882667,-117.233455,,
9,-337,337,32.702882667,-117.233455,,
9,-339,339,32.702882667,-117.233455,,
8,-341,341,32.702882667,-117.233455,,
7,-341,341,32.702882667,-117.233455,,
8,-342,342,32.702882667,-117.233455,,
9,-342,342,32.702882667,-117.233455,,
9,-343,343,32.702859917,-117.23343825,,
7,-344,344,32.702859917,-117.23343825,,
8,-343,343,32.702859917,-117.23343825,,
7,-344,344,32.702859917,-117.23343825,,
8,-345,345,32.702859917,-117.23343825,,
8,-346,346,32.702859917,-117.23343825,,
11,-346,346,32.702859917,-117.23343825,,
8,-345,345,32.702859917,-117.23343825,,
7,-345,345,32.702859917,-117.23343825,,
9,-346,346,32.702859917,-117.23343825,,
8,-346,346,32.702859917,-117.23343825,,
9,-346,346,32.702859917,-117.23343825,,
9,-347,347,32.702859917,-117.23343825,,
8,-349,349,32.702859917,-117.23343825,,
8,-349,349,32.702859917,-117.23343825,,
8,-347,347,32.702859917,-117.23343825,,
7,-346,346,32.702859917,-117.23343825,,
8,-346,346,32.702859917,-117.23343825,,
9,-344,344,32.702859917,-117.23343825,,
8,-345,345,32.702859917,-117.23343825,,
5,-349,349,32.702837167,-117.2334215,,
6,-349,349,32.702837167,-117.2334215,,
9,-355,355,32.702837167,-117.2334215,,
7,-356,356,32.702837167,-117.2334215,,
7,-353,353,32.702837167,-117.2334215,,
6,-355,355,32.702837167,-117.2334215,,
7,-357,357,32.702837167,-117.2334215,,
8,-355,355,32.702837167,-117.2334215,,
11,-356,356,32.702837167,-117.2334215,,
9,-356,356,32.702837167,-117.2334215,,
9,-357,357,32.702837167,-117.2334215,,
9,-360,360,32.702837167,-117.2334215,,
7,-361,361,32.702837167,-117.2334215,,
9,-359,359,32.702837167,-117.2334215,,
13,-359,359,32.702837167,-117.2334215,,
12,-359,359,32.702837167,-117.2334215,,
9,-363,363,32.702837167,-117.2334215,,
8,-361,361,32.702837167,-117.2334215,,
8,-359,359,32.702837167,-117.2334215,,
8,-358,358,32.702837167,-117.2334215,,
11,-360,360,32.702837167,-117.2334215,,
7,-364,364,32.702837167,-117.2334215,,
8,-368,368,32.702837167,-117.2334215,,
11,-365,365,32.702837167,-117.2334215,,
9,-369,369,32.702837167,-117.2334215,,
8,-370,370,32.702817333,-117.233408667,,
12,-364,364,32.702817333,-117.233408667,,
8,-369,369,32.702817333,-117.233408667,,
9,-368,368,32.702817333,-117.233408667,,
11,-370,370,32.702817333,-117.233408667,,
9,-371,371,32.702817333,-117.233408667,,
7,-372,372,32.702817333,-117.233408667,,
9,-373,373,32.702817333,-117.233408667,,
8,-372,372,32.702817333,-117.233408667,,
8,-372,372,32.702817333,-117.233408667,,
11,-373,373,32.702817333,-117.233408667,,
11,-373,373,32.702817333,-117.233408667,,
8,-375,375,32.702817333,-117.233408667,,
8,-379,379,32.702817333,-117.233408667,,
8,-375,375,32.702817333,-117.233408667,,
9,-379,379,32.702817333,-117.233408667,,
8,-379,379,32.702817333,-117.233408667,,
9,-380,380,32.702817333,-117.233408667,,
8,-382,382,32.702817333,-117.233408667,,
8,-384,384,32.702817333,-117.233408667,,
9,-384,384,32.702817333,-117.233408667,,
7,-384,384,32.702817333,-117.233408667,,
7,-387,387,32.702817333,-117.233408667,,
6,-386,386,32.702817333,-117.233408667,,
8,-384,384,32.702817333,-117.233408667,,
9,-387,387,32.702797333,-117.233401333,,
8,-390,390,32.702797333,-117.233401333,,
7,-390,390,32.702797333,-117.233401333,,
8,-389,389,32.702797333,-117.233401333,,
8,-388,388,32.702797333,-117.233401333,,
5,-392,392,32.702797333,-117.233401333,,
4,-392,392,32.702797333,-117.233401333,,
5,-392,392,32.702797333,-117.233401333,,
5,-393,393,32.702797333,-117.233401333,,
5,-394,394,32.702797333,-117.233401333,,
6,-395,395,32.702797333,-117.233401333,,
7,-393,393,32.702797333,-117.233401333,,
5,-394,394,32.702797333,-117.233401333,,
7,-399,399,32.702797333,-117.233401333,,
8,-400,400,32.702797333,-117.233401333,,
6,-399,399,32.702797333,-117.233401333,,
7,-401,401,32.702797333,-117.233401333,,
8,-402,402,32.702797333,-117.233401333,,
7,-403,403,32.702797333,-117.233401333,,
6,-402,402,32.702797333,-117.233401333,,
6,-402,402,32.702797333,-117.233401333,,
6,-404,404,32.702797333,-117.233401333,,
8,-404,404,32.702797333,-117.233401333,,
7,-406,406,32.702797333,-117.233401333,,
7,-405,405,32.702797333,-117.233401333,,
8,-407,407,32.702770833,-117.233401167,,
7,-410,410,32.702770833,-117.233401167,,
6,-407,407,32.702770833,-117.233401167,,
6,-410,410,32.702770833,-117.233401167,,
5,-410,410,32.702770833,-117.233401167,,
6,-412,412,32.702770833,-117.233401167,,
8,-414,414,32.702770833,-117.233401167,,
7,-413,413,32.702770833,-117.233401167,,
6,-414,414,32.702770833,-117.233401167,,
5,-415,415,32.702770833,-117.233401167,,
6,-415,415,32.702770833,-117.233401167,,
4,-416,416,32.702770833,-117.233401167,,
5,-418,418,32.702770833,-117.233401167,,
7,-421,421,32.702770833,-117.233401167,,
7,-421,421,32.702770833,-117.233401167,,
6,-423,423,32.702770833,-117.233401167,,
7,-422,422,32.702770833,-117.233401167,,
7,-423,423,32.702770833,-117.233401167,,
6,-420,420,32.702770833,-117.233401167,,
6,-422,422,32.702770833,-117.233401167,,
6,-423,423,32.702770833,-117.233401167,,
